Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
riksdaler;Riksdaler Reform;;;;;;;;;;;;;x
gustav_iii;Gustav III Holstein-Gottorp;;;;;;;;;;;;;x
swedish_absolitism;Swedish Absolutism;;;;;;;;;;;;;x
improved_administration;Gubernyas system;;;;;;;;;;;;;x
table_of_ranks;Table of Ranks;;;;;;;;;;;;;x
peter_the_great;Peter the Great;;;;;;;;;;;;;x
peter_iii;Peter III Romanov;;;;;;;;;;;;;x
catharine_the_great;Catharine the Great;;;;;;;;;;;;;x
nakaz;Nakaz Edict;;;;;;;;;;;;;x
ecole_militire;Ecole Miliaire;;;;;;;;;;;;;x
prussian_herbstubung;Herbstunbung;;;;;;;;;;;;;x
prussian_goose_step;Goose step;;;;;;;;;;;;;x
prussian_mobilization;Cantons system;;;;;;;;;;;;;x
berlin_academy_of_sciences;Berlin academy of sciences;;;;;;;;;;;;;x
renovated_armada;Renovated Armada;;;;;;;;;;;;;x
the_cadastre_tax_and_the_spanish_bank;The Cadastre Tax and Spanish Banks;;;;;;;;;;;;;x
royal_academy_of_the_fine_arts;Royal Academy of Fine Arts;;;;;;;;;;;;;x
new_royal_spanish_academy;Royal Spanish Academy;;;;;;;;;;;;;x
janisseries_angry;Janissaries Opposition;;;;;;;;;;;;;x
janisseries_furious;Janissaries Retaliation;;;;;;;;;;;;;x
imperial_navy_engieering_school;Imperial Navy Engineering School;;;;;;;;;;;;;x
prussian_military_advisors;Prussian Military Advisors;;;;;;;;;;;;;x
nizam_i_djedid;Nizam-i Djedid;;;;;;;;;;;;;x
szlachta_taxes;Szlachta's additional taxes;;;;;;;;;;;;;x
szlachta_war_taxes;Szlachta's War Taxes;;;;;;;;;;;;;x
szlachta_pissed;Szlachta Retaliation;;;;;;;;;;;;;x
szlachta_opposition;Szlachta Opposition;;;;;;;;;;;;;x
sugar_act_on_colonies;Sugar Act;;;;;;;;;;;;;x
stamp_act_on_colonies;Stamp Act;;;;;;;;;;;;;x
tea_act_on_colonies;Tea Act;;;;;;;;;;;;;x
intoreable_act_on_colonies;The Intolerable Acts;;;;;;;;;;;;;x
most_perfect_economy_system;Most Perfect Economic System;;;;;;;;;;;;;x
rights_of_man;The Rights of Man;;;;;;;;;;;;;x
the_safeheaven_for_liberalism;The safe haven for Liberalism;;;;;;;;;;;;;x
white_house;The White House;;;;;;;;;;;;;x
army_reform_ula;Louisianian Army Reform;;;;;;;;;;;;;x
native_assimilation_act_policy_ula;Native Assimilation Act;;;;;;;;;;;;;x
french_military_advisors;French Military Advisors;;;;;;;;;;;;;x
for_god_and_people;For God and People;;;;;;;;;;;;;x
reformed_scholarship;Reformed Scholarship;;;;;;;;;;;;;x
western_values;Western Values;;;;;;;;;;;;;x
reformed_army;Reformed Army;;;;;;;;;;;;;x
reformed_beurocracy;Reformed Bureaucracy;;;;;;;;;;;;;x
reformed_industry:Reformed Industry;;;;;;;;;;;;;x;
french_naval_school;French Naval school;;;;;;;;;;;;;x
jacobite_sympathies;Jacobite Sympathies;;;;;;;;;;;;;x
indian_raj;Indian Raj;;;;;;;;;;;;;x
dominus_mare_baltici;Dominum Mari Baltici;;;;;;;;;;;;;x
hungarians_rise;Hungarians rise;;;;;;;;;;;;;x
national_unrest;National unrests;;;;;;;;;;;;;x
national_rebellion;National rebellions;;;;;;;;;;;;;x
serbian_rebellion;Serbian rebellion;;;;;;;;;;;;;x
ruthenian_rebellion;Ruthenian rebellion;;;;;;;;;;;;;x
romanian_rebellion;Romanian rebellion;;;;;;;;;;;;;x
slovakian_rebellion;Slovakian rebellion;;;;;;;;;;;;;x
slovenian_rebellion;Slovenian rebellion;;;;;;;;;;;;;x
croatian_rebellion;Croatian rebellion;;;;;;;;;;;;;x
hungarian_autocracy;Hungarian Absolutism;;;;;;;;;;;;;x
hungarian_constitutions;Danubian Liberalism;;;;;;;;;;;;;x
bureaucracy_pm;Bureaucratic Head of Government;;;;;;;;;;;;;x
burghers_pm;Burgher Head of Government;;;;;;;;;;;;;x
church_pm;Clerical Head of Government;;;;;;;;;;;;;x
nobility_pm;Aristocratic Head of Government;;;;;;;;;;;;;x
gentry_pm;Gentry of Government;;;;;;;;;;;;;x
army_pm;Military Head of Government;;;;;;;;;;;;;x
5_year_term;Five Year Term;;;;;;;;;;;;;x
piracy_mild;Mild Piracy;;;;;;;;;;;;;x
piracy_moderate;Moderate Piracy;;;;;;;;;;;;;x
piracy_harsh;Harsh Piracy;;;;;;;;;;;;;x
piracy_spoils;Spoils of Piracy;;;;;;;;;;;;;x
maria_theresa;Maria Theresa Habsburg;;;;;;;;;;;;;x
codex_theresianus;Codex Thresianus;;;;;;;;;;;;;x
austrian_vaccination;Vaccination Policys;;;;;;;;;;;;;x
josephism;Josephism;;;;;;;;;;;;;x
theresian_military_academy;Theresian Military Academy;;;;;;;;;;;;;x
ost_land_company;Ost-Land Company;;;;;;;;;;;;;x
louis_grande;Louis XIV Bourbon;;;;;;;;;;;;;x
peasant_turmoil:Peasant Turmoil;;;;;;;;;;;;;x
poor_tax_laws;Poor Tax Laws;;;;;;;;;;;;;x
poor_conscript_laws;Low Conscription;;;;;;;;;;;;;x
peasant_in_government;Peasants in the Governments;;;;;;;;;;;;;x
clergy_and_nobility_domination;Noble and Clergy Domination;;;;;;;;;;;;;x
agriculture_revolution;Agricultre Revolution;;;;;;;;;;;;;x
encolsure;Encolsure Completed;;;;;;;;;;;;;x
british_general_staff;British General Staff;;;;;;;;;;;;;x
