;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME93000;The King is Dead;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93000OPTA;Support an Bourbon Heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93000OPTB;Support a Habsburg heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93000;"In 1665 Charles II became the King of Spain, suffering from ill-health all his life, his death was anticipated almost from birth. It soon became apparent that the Spanish Habsburg line would die with him. As a result, his succession was hotly debated for decades. In 1670, England agreed to support the rights of Louis XIV to the Spanish throne in the Treaty of Dover, while the terms of the 1688 Grand Alliance committed England and the Dutch Republic to back Leopold from the house of Habsburg. In 1700, the Spanish Empire includes possessions in Italy, the Spanish Netherlands, the Philippines and the Americas and though no longer the dominant great power, it remains largely intact. Its acquisition by either the Austrian Habsburgs or French Bourbons would change the balance of power in Europe, and so its inheritance may lead to a war that involves most of the European powers.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93007;The Spaniards Have chosen a Bourbon heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93007OPTA;Rally for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93007OPTB;It's not our problem...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93007;The Spaniards have decided that an heir from Bourbon dynasty should claim the Spanish throne, it may shake the delicate balance of power, we have to intervene!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93001;The Spaniards Have chosen an Bourbon heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93001OPTA;Rally for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93001OPTB;We need to support them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93001OPTC;It's not our problem...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93001;The Spaniards have decided that an heir from Bourbon dynasty should claim the Spanish throne.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93003;Ready for War!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93003OPTA;It's war than!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93003;Our allies are ready for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93008;The Spaniards Have chosen a Habsburg heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93008OPTA;Rally for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93008OPTB;It's not our problem...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93001;The Spaniards have decided that an heir from Habsburg dynasty should claim the Spanish throne, it may shake the delicate balance of power, we have to intervene!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93004;The Spaniards Have chosen a Habsburg heir;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93004OPTA;Rally for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93004OPTB;We need to support them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93004OPTC;It's not our problem...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93004;The Spaniards have decided that an heir from Habsburg dynasty should claim the Spanish throne.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93009;Ready for War!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93009OPTA;It's war than!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93009;Our allies are ready for war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93006;Treaty of Toledo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93006;The Enemy has been defeated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA93006;Great!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93005;Treaty of Utrecht;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93005;The Enemy has been defeated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA93005;Great!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93002;Our Dynasty on Spanish Throne;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME93002OPTA;What will come from all of this?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93002;The Spaniards have decided that an heir from our dynasty should claim the spanish throne, however other european powers do not agree! We should support our Spanish friends in case of war!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
