;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
D01;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D02;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D03;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D04;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D05;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D06;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D07;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D08;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D09;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D10;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D11;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D12;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D13;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D14;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D15;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D16;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D17;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D18;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D19;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D20;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D21;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D22;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D23;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D24;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D25;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D26;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D27;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D28;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D29;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D30;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D31;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D32;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D33;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D34;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D35;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D36;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D37;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D38;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D39;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D40;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D41;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D42;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D43;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D44;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D45;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D46;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D47;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D48;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D49;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D50;Provisional Colony;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D01_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D02_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D03_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D04_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D05_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D06_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D07_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D08_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D09_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D10_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D11_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D12_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D13_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D14_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D15_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D16_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D17_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D18_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
